Mes,Player,Regiao,Faixa_Etaria,Plano,Genero_Preferido,Dispositivo_Principal,Assinantes,Novos_Assinantes,Cancelamentos,Churn_Pct,Market_Share_Pct,Preco_Mensal,Horas_Assistidas_Mes,Satisfacao,NPS,Titulos_Catalogo,Lancamentos_Mes,CAC,Receita_Estimada
2025-01,Streamly,Sudeste,18-24,Com anúncios,Séries,Smart TV,16066,1424,901,5.61,32.75,39.9,35.2,8.54,71,5089,23,25.03,641033.4
2025-01,Streamly,Sudeste,18-24,Com anúncios,Filmes,Smart TV,17722,1160,1031,5.82,34.08,39.9,29.7,8.42,60,5507,23,29.71,707107.8
2025-01,Streamly,Sudeste,18-24,Com anúncios,Documentários,Smart TV,19278,721,957,4.96,33.81,39.9,24.7,8.21,67,5350,38,28.16,769192.2
2025-01,Streamly,Sudeste,18-24,Com anúncios,Reality,Notebook,12151,576,707,5.82,34.74,39.9,26.8,8.27,70,5460,27,26.34,484824.9
2025-01,Streamly,Sudeste,18-24,Com anúncios,Infantil,Celular,15408,545,875,5.68,34.26,39.9,41.4,8.36,69,5420,13,28.76,614779.2
2025-01,Streamly,Sudeste,18-24,Padrão,Séries,Smart TV,12763,843,768,6.02,33.67,39.9,49.8,8.08,58,5256,28,35.98,509243.7
2025-01,Streamly,Sudeste,18-24,Padrão,Filmes,Celular,13779,659,781,5.67,33.45,39.9,27.6,8.25,57,5374,24,35.83,549782.1
2025-01,Streamly,Sudeste,18-24,Padrão,Documentários,Celular,15554,563,782,5.03,34.75,39.9,18.7,8.41,65,4781,27,27.71,620604.6
2025-01,Streamly,Sudeste,18-24,Padrão,Reality,Tablet,16682,1162,928,5.57,34.54,39.9,28.9,8.28,52,4693,14,24.02,665611.8
2025-01,Streamly,Sudeste,18-24,Padrão,Infantil,Smart TV,11830,706,699,5.91,33.55,39.9,41.7,8.21,62,4867,21,36.88,472017.0
2025-01,Streamly,Sudeste,18-24,Premium,Séries,Smart TV,16520,1231,805,4.87,34.29,39.9,45.4,7.94,60,5207,35,29.32,659148.0
2025-01,Streamly,Sudeste,18-24,Premium,Filmes,Smart TV,15627,635,929,5.95,34.26,39.9,35.8,8.51,60,4976,17,28.27,623517.3
2025-01,Streamly,Sudeste,18-24,Premium,Documentários,Celular,17223,681,756,4.39,33.73,39.9,23.6,8.05,76,6219,26,24.07,687197.7
2025-01,Streamly,Sudeste,18-24,Premium,Reality,Celular,15936,1281,792,4.97,33.02,39.9,30.3,8.15,64,5144,16,19.28,635846.4
2025-01,Streamly,Sudeste,18-24,Premium,Infantil,Notebook,14811,705,780,5.27,36.12,39.9,35.5,8.55,63,4946,38,25.25,590958.9
2025-01,Streamly,Sudeste,25-34,Com anúncios,Séries,Tablet,11839,1023,640,5.41,35.12,39.9,44.8,8.26,68,5040,15,22.05,472376.1
2025-01,Streamly,Sudeste,25-34,Com anúncios,Filmes,Smart TV,20526,1589,1053,5.13,34.19,39.9,40.5,8.37,64,5587,27,41.75,818987.4
2025-01,Streamly,Sudeste,25-34,Com anúncios,Documentários,Console,10714,480,654,6.11,32.36,39.9,21.1,8.73,86,4812,17,35.5,427488.6
2025-01,Streamly,Sudeste,25-34,Com anúncios,Reality,Smart TV,14982,1082,806,5.39,33.8,39.9,31.5,8.65,56,5182,18,22.47,597781.8
2025-01,Streamly,Sudeste,25-34,Com anúncios,Infantil,Tablet,13830,712,618,4.47,35.1,39.9,35.6,8.31,74,5388,33,29.92,551817.0
2025-01,Streamly,Sudeste,25-34,Padrão,Séries,Celular,14216,825,753,5.3,34.29,39.9,45.5,8.03,80,5856,18,28.99,567218.4
2025-01,Streamly,Sudeste,25-34,Padrão,Filmes,Celular,12932,618,758,5.86,34.38,39.9,30.7,8.12,61,4828,20,24.86,515986.8
2025-01,Streamly,Sudeste,25-34,Padrão,Documentários,Notebook,8847,706,563,6.37,32.24,39.9,16.5,7.98,82,4789,21,33.39,352995.3
2025-01,Streamly,Sudeste,25-34,Padrão,Reality,Smart TV,11546,501,649,5.63,33.71,39.9,29.1,8.41,57,5116,22,32.63,460685.4
2025-01,Streamly,Sudeste,25-34,Padrão,Infantil,Celular,16650,1384,880,5.29,35.22,39.9,38.3,8.39,61,5310,23,45.65,664335.0
2025-01,Streamly,Sudeste,25-34,Premium,Séries,Notebook,16350,1403,750,4.59,33.08,39.9,46.3,8.6,57,5524,27,23.23,652365.0
2025-01,Streamly,Sudeste,25-34,Premium,Filmes,Smart TV,15923,1007,802,5.04,34.06,39.9,32.7,8.27,77,4301,22,32.24,635327.7
2025-01,Streamly,Sudeste,25-34,Premium,Documentários,Tablet,13698,755,737,5.38,31.89,39.9,14.3,8.73,72,5178,16,28.66,546550.2
2025-01,Streamly,Sudeste,25-34,Premium,Reality,Notebook,17039,1207,996,5.85,36.08,39.9,39.7,8.41,74,5096,24,26.12,679856.1
2025-01,Streamly,Sudeste,25-34,Premium,Infantil,Notebook,10875,814,554,5.1,34.94,39.9,41.8,8.59,77,4649,23,22.8,433912.5
2025-01,Streamly,Sudeste,35-44,Com anúncios,Séries,Celular,20289,1368,977,4.82,34.77,39.9,45.2,8.05,55,5309,32,35.26,809531.1
2025-01,Streamly,Sudeste,35-44,Com anúncios,Filmes,Smart TV,16065,1385,871,5.43,34.09,39.9,23.7,8.7,78,4646,34,33.58,640993.5
2025-01,Streamly,Sudeste,35-44,Com anúncios,Documentários,Tablet,13001,648,752,5.79,34.98,39.9,23.2,8.36,60,5148,22,33.68,518739.9
2025-01,Streamly,Sudeste,35-44,Com anúncios,Reality,Console,11295,880,679,6.01,33.85,39.9,26.9,8.11,69,5203,33,37.0,450670.5
2025-01,Streamly,Sudeste,35-44,Com anúncios,Infantil,Celular,16939,1232,861,5.09,36.79,39.9,46.0,7.8,56,5658,12,22.24,675866.1
